country,year,score,log.gdp,social,life.ex,freedom,generosity,corruption,confidence,hemisphere,developing,gdp
Afghanistan,2021,2.436034441,NA,0.454174697,54.54999924,0.394305944,NA,0.946299374,0.255620003,N,Y,NA
Albania,2021,5.25548172,9.562287331,0.70188278,69.15000153,0.827452719,0.044741828,0.896126628,0.472924024,N,Y,14218.331063025616
Algeria,2021,5.217017651,9.303516388,0.840710282,66.59999847,0.558486938,-0.111191154,0.711900055,NA,N,Y,10976.549231205958
Argentina,2021,5.908278942,9.955421448,0.882304549,67.19999695,0.819479346,-0.008816142,0.816256702,0.326574117,S,Y,21066.122238000233
Armenia,2021,5.300568581,9.50048542,0.762044132,67.65000153,0.795169771,-0.150131598,0.705333829,0.297145844,N,Y,13366.213482507672
Australia,2021,7.111598969,10.81834221,0.91975528,71.05000305,0.912402213,0.237517536,0.45367604500000003,0.519226372,S,N,49928.24781255729
Austria,2021,7.079640865,10.89209175,0.862975955,71.15000153,0.794845939,0.161673456,0.500808597,0.61045897,N,N,53749.61321693405
Benin,2021,4.493431091,8.140853882,0.435524195,56.09999847,0.724061847,-0.013507844,0.6125471,0.762415886,N,Y,3431.8470096279234
Bolivia,2021,5.56862402,9.007940292,0.797810495,63.59999847,0.861731231,-0.054499056,0.812174439,0.385875583,S,Y,8167.680900079431
Bosnia and Herzegovina,2021,5.748823166,9.627624512,0.859953582,67.30000305,0.758979201,0.281281054,0.920913935,0.225852832,N,Y,15178.337289812189
Brazil,2021,6.009953499,9.593187332,0.814328671,65.75,0.791507721,0.090771444,0.738571405,0.327099293,S,Y,14664.53586872437
Bulgaria,2021,5.421693325,10.05412579,0.883621037,66.5,0.841188073,-0.010516754,0.891248465,0.224526197,N,N,23251.5201110807
Burkina Faso,2021,4.635508537,7.713550568,0.6575436,55.65000153,0.64410162,0.067472264,0.736158907,0.620851576,N,Y,2238.4760265074096
Cambodia,2021,4.555141449,8.348700523,0.712757587,61.90000153,0.965093315,0.019178679,0.84435308,NA,N,Y,4224.68729062988
Cameroon,2021,4.962747574,8.215063095,0.694936395,55.84999847,0.715301752,-0.023982672,0.848717153,0.563208461,N,Y,3696.2094295665365
Canada,2021,6.939435482,10.77074814,0.926076412,71.40000153,0.898229182,0.193240881,0.383990496,0.610411167,N,N,47607.62135962399
Chile,2021,6.435630798,10.16244316,0.891460538,70.30000305,0.80341506,-0.049180858,0.858552754,0.232144803,S,N,25911.52579268383
China,2021,5.862864494,9.776108742,0.85600698,68.75,0.874755502,0.023953401,NA,NA,N,Y,17608.002091719634
Colombia,2021,5.289958477,9.587848663,0.792830646,69.34999847,0.774668455,-0.06074876,0.831330955,0.289148897,S,Y,14586.455374090856
Congo (Brazzaville),2021,4.920531273,8.103173256,0.567651093,56.84999847,0.737661481,-0.018990656,0.732729912,0.522122145,S,Y,3304.938870340812
Costa Rica,2021,6.408448219,9.938294411,0.87605232,70,0.886652231,-0.023066543,0.781826913,0.315308332,N,Y,20708.394138663523
Croatia,2021,6.286790371,10.30044937,0.917741537,68.94999695,0.841837883,0.009498014,0.933650374,0.251287937,N,N,29745.982802279446
Cyprus,2021,6.269202232,NA,0.85535723,72.80000305,0.717639267,NA,0.876456022,0.321940005,N,N,NA
Czechia,2021,6.942496777,10.58128357,0.950226784,69.05000305,0.890521467,0.163303927,0.8625741,0.284475416,N,N,39390.64261508237
Denmark,2021,7.698747158,10.97297955,0.944926739,71.25,0.933439255,0.132816002,0.172680944,0.651709735,N,N,58277.97711829087
Dominican Republic,2021,6.030537128,9.834504128,0.857106984,64.40000153,0.859358311,-0.084483601,0.677408218,0.574958026,N,Y,18666.843010581673
Ecuador,2021,5.43487215,9.26595211,0.785531878,69,0.821025372,-0.080462657,0.774508297,0.412493259,S,Y,10571.871384746328
Egypt,2021,4.025747776,9.40212822,0.717022359,63.5,0.704442561,-0.227792621,0.580454171,0.764044523,N,Y,12114.134859360283
El Salvador,2021,6.431447029,9.05728817,0.796106219,65.59999847,0.914903879,-0.075257853,0.663288593,0.702381134,N,Y,8580.84926913295
Estonia,2021,6.553915501,10.55838966,0.945865035,69.65000153,0.925818324,0.049557805,0.441425771,0.519263983,N,N,38499.08139033795
Finland,2021,7.794377804,10.7945528,0.97028929,71.15000153,0.96318984,-0.035728443,0.191753656,0.713731229,N,N,48754.500982003
France,2021,6.656206608,10.71656609,0.914597511,72.30000305,0.836917698,-0.100719824,0.56081295,0.433520496,N,N,45096.778374436886
Gabon,2021,5.075422287,9.559962273,0.75387162,58.25,0.699056685,-0.204959437,0.765906811,0.448331118,S,Y,14185.311020273395
Georgia,2021,4.911273479,9.648091316,0.670689464,64.94999695,0.777061343,-0.285530955,0.723406911,0.443020523,N,Y,15492.190171127328
Germany,2021,6.754523754,10.87341213,0.86758256,71.30000305,0.778439999,0.07768628,0.417581916,0.604759932,N,N,52754.910127914525
Ghana,2021,4.377950668,8.621863365,0.63272965,58.75,0.730264723,0.108457863,0.887770474,0.521073401,N,Y,5551.721645317788
Greece,2021,6.104214191,10.26983833,0.85032618,71.15000153,0.574029803,-0.155177593,0.751816869,0.401736408,N,N,28849.222735609885
Guinea,2021,4.944539547,7.913556576,0.627239227,54.20000076,0.676289976,0.15986903,0.783515692,NA,N,Y,2734.097219258318
Honduras,2021,6.113636017,8.57476902,0.805980861,63.84999847,0.835045755,0.119133651,0.847225428,0.226496547,N,Y,5296.327951094844
Hong Kong S.A.R. of China,2021,5.321550846,NA,0.821088552,NA,0.6686306,NA,0.389589489,0.495273739,N,N,NA
Hungary,2021,6.226647854,10.413867,0.947892129,67.5,0.727489948,-0.041736327,0.831555367,0.416566133,N,Y,33318.46410732418
Iceland,2021,7.564624786,10.89974785,0.97985822,72.05000305,0.923243344,0.258854508,0.664465606,0.633886755,N,N,54162.704948679064
India,2021,3.558253765,8.807804108,0.569732904,60.90000153,0.866110921,0.056761485,0.756820023,0.785475373,N,Y,6686.220915909044
Indonesia,2021,5.43317318,9.367486954,0.816924691,63.04999924,0.884855866,0.545828223,0.845080256,0.840339124,S,Y,11701.671267959035
